"Energy (eV)";"Total";"Y 1s";"Y 2pz";"Y 2px";"Y 2py";"Y 3dz2";"Y 3dzx";"Y 3dzy";"Y 3dx2-y2";"Y 3dxy";"Y 4s";"Y 5pz";"Y 5px";"Y 5py";"Sn 1dz2";"Sn 1dzx";"Sn 1dzy";"Sn 1dx2-y2";"Sn 1dxy";"Sn 2s";"Sn 3pz";"Sn 3px";"Sn 3py";"Nb 1s";"Nb 2pz";"Nb 2px";"Nb 2py";"Nb 3dz2";"Nb 3dzx";"Nb 3dzy";"Nb 3dx2-y2";"Nb 3dxy";"Nb 4s";"Nb 5pz";"Nb 5px";"Nb 5py"
-40,18;0,000716;1,27e-14;2,74e-13;4,46e-22;4,46e-22;4,59e-12;6,63e-21;6,63e-21;2,3e-7;2,3e-7;4,69e-10;2,05e-9;1,96e-20;1,96e-20;2,688e-12;1,892e-8;1,892e-8;1,115e-8;1,115e-8;1,012e-10;1,608e-9;0,000001666;0,000001666;0,000672;1,074e-9;4,148e-21;4,15e-21;0,000002268;1,978e-20;1,976e-20;0,00000624;0,000006212;0,00002844;1,146e-10;1,27e-19;1,274e-19
-40,13;0,0000563;4,53e-16;9,82e-15;3,5e-23;3,5e-23;1,64e-13;5,21e-22;5,21e-22;1,81e-8;1,81e-8;1,68e-11;7,33e-11;1,54e-21;1,54e-21;9,64e-14;1,486e-9;1,486e-9;8,758e-10;8,758e-10;3,618e-12;5,746e-11;1,31e-7;1,31e-7;0,00005256;8,4e-11;3,258e-22;3,258e-22;1,782e-7;1,552e-21;1,552e-21;4,896e-7;4,884e-7;0,000002232;8,22e-12;9,98e-21;1e-20
-40,08;0,00000337;1,24e-17;2,69e-16;2,1e-24;2,1e-24;4,49e-15;3,12e-23;3,12e-23;1,09e-9;1,09e-9;4,58e-13;2e-12;9,25e-23;9,25e-23;2,628e-15;8,9e-11;8,9e-11;5,258e-11;5,258e-11;9,9e-14;1,576e-12;7,86e-9;7,86e-9;0,00000315;5,046e-12;1,956e-23;1,954e-23;1,068e-8;9,32e-23;9,32e-23;2,93e-8;2,93e-8;1,338e-7;4,716e-13;5,984e-22;6,006e-22
-40,03;1,54e-7;1,98e-21;5e-20;9,61e-26;9,61e-26;8,42e-19;1,43e-24;1,43e-24;4,97e-11;4,97e-11;8,62e-17;3,71e-16;4,23e-24;4,23e-24;4,838e-19;4,07e-12;4,07e-12;2,396e-12;2,396e-12;1,834e-17;2,876e-16;3,594e-10;3,594e-10;1,44e-7;2,31e-13;8,96e-25;8,92e-25;4,884e-10;4,256e-24;4,268e-24;1,339e-9;1,342e-9;6,12e-9;2,076e-14;2,74e-23;2,74e-23
-39,98;5,39e-9;6,93e-23;1,75e-21;3,36e-27;3,36e-27;2,94e-20;4,99e-26;4,99e-26;1,74e-12;1,74e-12;3,01e-18;1,3e-17;1,48e-25;1,48e-25;1,688e-20;1,424e-13;1,424e-13;8,404e-14;8,404e-14;6,408e-19;1,005e-17;1,256e-11;1,256e-11;5,04e-9;8,04e-15;3,126e-26;3,126e-26;1,704e-11;1,488e-25;1,488e-25;4,68e-11;4,68e-11;2,136e-10;7,26e-16;9,56e-25;9,58e-25
-39,93;1,44e-10;1,85e-24;4,66e-23;8,95e-29;8,95e-29;7,85e-22;1,33e-27;1,33e-27;4,63e-14;4,63e-14;8,04e-20;3,46e-19;3,94e-27;3,94e-27;4,496e-22;3,794e-15;3,794e-15;2,24e-15;2,24e-15;1,708e-20;2,678e-19;3,348e-13;3,348e-13;1,344e-10;2,148e-16;8,32e-28;8,34e-28;4,548e-13;3,962e-27;3,964e-27;1,248e-12;1,248e-12;5,7e-12;1,932e-17;2,552e-26;2,554e-26
-39,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-39,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-39,78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-39,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
